"table_name","column_name","data_type","r_type"
"REF_HABTYP_DESCRIPTION","pub_cd","character varying","character"
"COND_DWM_CALC","fwd_sm_volcf_cond","double precision","double"
"REF_NVCS_HIERARCHY_STRCT","citation_nbr","integer","double"
"REF_FOREST_TYPE_GROUP","modified_in_instance","character varying","character"
"VEG_QUADRAT","trampling","smallint","double"
"TREE_GRM_THRESHOLD","dia","numeric","double"
"OZONE_PLOT_SUMMARY","created_in_instance","character varying","character"
"REF_NVCS_LEVEL_7_CODES","modified_date","timestamp without time zone","IDate"
"SOILS_EROSION","modified_date","timestamp without time zone","IDate"
"DWM_DUFF_LITTER_FUEL","modified_in_instance","character varying","character"
"DWM_DUFF_LITTER_FUEL","duffdep","double precision","double"
"SOILS_LAB","ph_cacl2","numeric","double"
"REF_DIFFERENCE_TEST_TOTALS","created_in_instance","character varying","character"
"PLOT","grow_typ_cd","smallint","double"
"COND","balive","numeric","double"
"TREE_GRM_COMPONENT","subp_tpagrow_unadj_gs_forest","numeric","double"
"DWM_FINE_WOODY_DEBRIS","large_tl_cond","double precision","double"
"TREE_GRM_BEGIN","actualht","smallint","double"
"PLOT","modified_date","timestamp without time zone","IDate"
"TREE_GRM_MIDPT","volcsnet","double precision","double"
"TREE","volcfgrs_bark","numeric","double"
"PLOT","invasive_sampling_status_cd","smallint","double"
"INVASIVE_SUBPLOT_SPP","plot","double precision","double"
"PLOTSNAP","expgrndlyr","double precision","double"
"PLOTSNAP","adj_expregen_micr","double precision","double"
"GRND_CVR","grnd_cvr_typ","character varying","character"
"OZONE_SPECIES_SUMMARY","svrty_min","double precision","double"
"REF_DIFFERENCE_TEST_TOTALS","created_by","character varying","character"
"REF_DIFFERENCE_TEST_PER_ACRE","sql_col_10","character varying","character"
"REF_DIFFERENCE_TEST_TOTALS","cn","character varying","character"
"VEG_SUBPLOT_SPP","quad_1_presence","smallint","double"
"REF_DIFFERENCE_TEST_TOTALS","sql_col_22","text","character"
"SOILS_SAMPLE_LOC","txtrlyr1","double precision","double"
"COND","mquadprop_unadj","double precision","double"
"SUBPLOT_REGEN","regen_micr_status_cd","smallint","double"
"REF_NVCS_LEVEL_8_CODES","modified_in_instance","character varying","character"
"P2VEG_SUBP_STRUCTURE","growth_habit_cd","character varying","character"
"DWM_VISIT","smpkndcd","smallint","double"
"TREE_GRM_ESTN","modified_by","character varying","character"
"COND","trees_present_ncrs","smallint","double"
"REF_NVCS_LEVEL_4_CODES","created_in_instance","character varying","character"
"TREE_GRM_THRESHOLD","drybio_branch","double precision","double"
"PLOTSNAP","created_by","character varying","character"
"REF_HABTYP_DESCRIPTION","scientific_name","character varying","character"
"LICHEN_PLOT_SUMMARY","measyear","smallint","double"
"REF_PLANT_DICTIONARY","trinomial_author","character varying","character"
"TREE","plot","integer","double"
"BOUNDARY","cycle","smallint","double"
"REF_NVCS_LEVEL_2_CODES","modified_in_instance","character varying","character"
"TREE_GRM_THRESHOLD","drybio_bole","double precision","double"
"TREE","damage_agent_cd3","integer","double"
"TREE_GRM_THRESHOLD","tre_cn","character varying","character"
"SOILS_SAMPLE_LOC","forflthke","double precision","double"
"VEG_VISIT","trace_cover_allowed","smallint","double"
"REF_NVCS_HIERARCHY_STRCT","created_by","character varying","character"
"PLOTGEOM","modified_by","character varying","character"
"VEG_QUADRAT","vsb_cn","character varying","character"
"COND","harvest_type3_srs","smallint","double"
"REF_NVCS_HIERARCHY_STRCT","nvcs_level_5_meaning","character varying","character"
"COND","dstrbcd3","smallint","double"
"SEEDLING_REGEN","plt_cn","character varying","character"
"TREE","damtyp1","smallint","double"
"TREE_GRM_THRESHOLD","volcsnet_bark","double precision","double"
"DWM_MICROPLOT_FUEL","subp","smallint","double"
"PLOTSNAP","srv_cn","character varying","character"
"POP_PLOT_STRATUM_ASSGN","invyr","smallint","double"
"OZONE_SPECIES_SUMMARY","biospcd_index","double precision","double"
"TREE_GRM_BEGIN","volcfgrs","double precision","double"
"PLOTSNAP","kindcd","smallint","double"
"POP_STRATUM","adj_factor_micr","double precision","double"
"REF_INVASIVE_SPECIES","symbol","character varying","character"
"DWM_FINE_WOODY_DEBRIS","mediumct","smallint","double"
"TREE","cr","smallint","double"
"TREE","volcfsnd_stump_bark","numeric","double"
"PLOTGEOM","unitcd","double precision","double"
"SEEDLING_REGEN","seedlingcount","smallint","double"
"COND","dstrbcd2","smallint","double"
"TREE","treeclcd_ners","smallint","double"
"VEG_QUADRAT","modified_by","character varying","character"
"TREE_GRM_THRESHOLD","drybio_stump_bark","double precision","double"
"DWM_DUFF_LITTER_FUEL","duff_method","smallint","double"
"PLOT_REGEN","modified_date","timestamp without time zone","IDate"
"OZONE_VISIT","injcheck","smallint","double"
"REF_FOREST_TYPE_GROUP","modified_by","character varying","character"
"BOUNDARY","plt_cn","character varying","character"
"DWM_TRANSECT_SEGMENT","horiz_length","double precision","double"
"DWM_COARSE_WOODY_DEBRIS","created_by","character varying","character"
"SUBPLOT_REGEN","subplot_site_limitations","smallint","double"
"TREE_GRM_ESTN","land_basis","character varying","character"
"VEG_PLOT_SPECIES","modified_date","timestamp without time zone","IDate"
"TREE_GRM_THRESHOLD","actualht","smallint","double"
"TREE_GRM_ESTN","g_cd","numeric","double"
"DWM_RESIDUAL_PILE","width1","smallint","double"
"REF_STATE_ELEV","created_in_instance","character varying","character"
"REF_NVCS_LEVEL_6_CODES","hierarchy_level","smallint","double"
"POP_STRATUM","rscd","smallint","double"
"REF_INVASIVE_SPECIES","modified_by","character varying","character"
"P2VEG_SUBPLOT_SPP","modified_date","timestamp without time zone","IDate"
"TREE","severity2a_cd_pnwrs","smallint","double"
"TREE_GRM_THRESHOLD","carbon_ag","double precision","double"
"REF_DAMAGE_AGENT_GROUP","modified_date","timestamp without time zone","IDate"
"OZONE_VISIT","terrpos","double precision","double"
"VEG_SUBPLOT_SPP","vsb_cn","character varying","character"
"REF_SPECIES","variety","character varying","character"
"DWM_VISIT","dlf_sample_method","character varying","character"
"REF_FIADB_VERSION","created_by","character varying","character"
"BEGINEND","created_date","timestamp without time zone","IDate"
"REF_SPECIES","modified_date","timestamp without time zone","IDate"
"LICHEN_VISIT","tallshrb","smallint","double"
"REF_DIFFERENCE_TEST_TOTALS","sql_col_26","text","character"
"REF_DIFFERENCE_TEST_TOTALS","sql_col_3","text","character"
"TREE_GRM_BEGIN","drybio_stem","double precision","double"
"COND","owngrpcd","smallint","double"
"DWM_COARSE_WOODY_DEBRIS","subp","smallint","double"
"SOILS_LAB","exchng_ca","numeric","double"
"TREE","cdencd","smallint","double"
"REF_LICHEN_SPECIES","modified_date","timestamp without time zone","IDate"
"PLOTSNAP","adj_expvol_subp","double precision","double"
"DWM_TRANSECT_SEGMENT","modified_by","character varying","character"
"SEEDLING","plot","integer","double"
"TREE_GRM_MIDPT","spcd","double precision","double"
"DWM_FINE_WOODY_DEBRIS","fwd_status_cd","smallint","double"
"TREE_GRM_MIDPT","volcfnet","double precision","double"
"DWM_RESIDUAL_PILE","drybio","double precision","double"
"POP_STRATUM","evalid","integer","double"
"PLOTGEOM","roadlesscd","character varying","character"
"DWM_COARSE_WOODY_DEBRIS","carbon_ac_plot","double precision","double"
"REF_DIFFERENCE_TEST_TOTALS","sql_col_11","text","character"
"TREE_GRM_BEGIN","carbon_ag","double precision","double"
"REF_NVCS_LEVEL_6_CODES","hierarchy_level_label","character varying","character"
"LICHEN_SPECIES_SUMMARY","created_in_instance","character varying","character"
"REF_DIFFERENCE_TEST_PER_ACRE","sql_col_35","character varying","character"
"EVALIDATOR_ESTIMATE_GRP","created_in_instance","character varying","character"
"COND","prev_afforestation_cd","smallint","double"
"LICHEN_VISIT","smplstrt","smallint","double"
"DWM_COARSE_WOODY_DEBRIS","drybio","double precision","double"
"OZONE_PLOT_SUMMARY","measyear","smallint","double"
"SUBP_COND","micrcond_prop","double precision","double"
"REF_GRM_TYPE","grm_typ","character varying","character"
"PLOTGEOM","invyr","double precision","double"
"SUBPLOT","statecd","smallint","double"
"REF_INVASIVE_SPECIES","inv_group_cd","double precision","double"
"SEEDLING","cycle","smallint","double"
"TREE_GRM_COMPONENT","mortcfgs_timber","numeric","double"
"OZONE_PLOT","unitcd","smallint","double"
"P2VEG_SUBPLOT_SPP","veg_spcd","character varying","character"
"DWM_COARSE_WOODY_DEBRIS","created_date","timestamp without time zone","IDate"
"FIA_REPORTING_TOOLS","enabled","character","character"
"TREE_GRM_THRESHOLD","voltsgrs_bark","double precision","double"
"EVALIDATOR_POP_ESTIMATE","estimate_grp_descr","character varying","character"
"TREE_GRM_BEGIN","volcsgrs","double precision","double"
"REF_FOREST_TYPE","created_date","timestamp without time zone","IDate"
"VEG_SUBPLOT_SPP","sp_canopy_cover_total","numeric","double"
"LICHEN_VISIT","szclscd3","smallint","double"
"SUBPLOT_REGEN","cycle","smallint","double"
"BEGINEND","created_in_instance","character varying","character"
"REF_FOREST_TYPE_GROUP","fwd_carbon_ratio","numeric","double"
"REF_FVS_LOC_NAME","modified_by","character varying","character"
"COND","forest_cond_status_change_cd","smallint","double"
"OZONE_BIOSITE_SUMMARY","svrty_class_three","double precision","double"
"REF_FIADB_VERSION","descr","character varying","character"
"SURVEY","stateab","character varying","character"
"COND","ownsubcd","smallint","double"
"SITETREE","modified_date","timestamp without time zone","IDate"
"COND_DWM_CALC","fwd_md_tl_adj","numeric","double"
"FIA_REPORTING_LOG","mapped","character varying","character"
"VEG_SUBPLOT_SPP","vvt_cn","character varying","character"
"DATAMART_MOST_RECENT_INV","statecd","smallint","double"
"COND","cycle","smallint","double"
"DWM_FINE_WOODY_DEBRIS","medium_tl_plot","double precision","double"
"REF_DIFFERENCE_TEST_TOTALS","comment_17","text","character"
"REF_DIFFERENCE_TEST_PER_ACRE","comment_35","character varying","character"
"TREE","cycle","smallint","double"
"P2VEG_SUBP_STRUCTURE","subp","double precision","double"
"REF_NVCS_LEVEL_4_CODES","created_by","character varying","character"
"P2VEG_SUBPLOT_SPP","unitcd","smallint","double"
"EVALIDATOR_VARIABLE_LIBRARY","max_cols","double precision","double"
"REF_DIFFERENCE_TEST_TOTALS","sql_col_25","text","character"
"SUBPLOT","micrcond","smallint","double"
"SUBP_COND_CHNG_MTRX","subptyp_prop_chng","numeric","double"
"REF_NVCS_HIERARCHY_STRCT","nvcs_level_6_note","character varying","character"
"LICHEN_SPECIES_SUMMARY","modified_date","timestamp without time zone","IDate"
"TREE","tree","bigint","integer64"
"COND_DWM_CALC","plt_cn","character varying","character"
"REF_DIFFERENCE_TEST_PER_ACRE","sql_col_18","character varying","character"
"LICHEN_VISIT","countycd","smallint","double"
"REF_DAMAGE_AGENT","dag_code","integer","double"
"TREE_GRM_THRESHOLD","volcfgrs_top_bark","double precision","double"
"REF_POP_EVAL_TYP_DESCR","eval_typ_label","character varying","character"
"REF_DIFFERENCE_TEST_PER_ACRE","comment_1","character varying","character"
"REF_RESEARCH_STATION","created_by","character varying","character"
"COUNTY","cn","character varying","character"
"TREE_GRM_COMPONENT","mortcfal_timber","numeric","double"
"OZONE_VISIT","modified_by","character varying","character"
"VEG_VISIT","veg_kindcd","smallint","double"
"TREE","volcfgrs_top","numeric","double"
"REF_SIEQN","sieqn_age_basis","character varying","character"
"SITETREE","countycd","smallint","double"
"TREE_GRM_COMPONENT","subp_tparemv_unadj_al_timber","numeric","double"
"TREE","treeclcd_31_ners","smallint","double"
"TREE_GRM_COMPONENT","dia_midpt","numeric","double"
"COND","crcovpct_rmrs","smallint","double"
"TREE","core_length_pnwrs","numeric","double"
"REF_HABTYP_PUBLICATION","valid","character varying","character"
"DWM_RESIDUAL_PILE","created_by","character varying","character"
"TREE_GRM_THRESHOLD","drybio_stem_bark","double precision","double"
"TREE_GRM_THRESHOLD","volcfsnd","double precision","double"
"DWM_TRANSECT_SEGMENT","transect_length","numeric","double"
"SURVEY","created_in_instance","character varying","character"
"VEG_PLOT_SPECIES","modified_by","character varying","character"
"REF_DIFFERENCE_TEST_TOTALS","sql_col_16","text","character"
"TREE_GRM_BEGIN","dia","numeric","double"
"REF_FOREST_TYPE_GROUP","duff_carbon_ratio","numeric","double"
"SOILS_EROSION","invyr","smallint","double"
"VEG_SUBPLOT","veg_subp_status_cd","smallint","double"
"DATAMART_TABLES","table_type","double precision","double"
"SOILS_EROSION","typothrcd","double precision","double"
"VEG_QUADRAT","modified_date","timestamp without time zone","IDate"
"POP_EVAL_ATTRIBUTE","statecd","smallint","double"
"SUBPLOT","p2veg_subp_status_cd","smallint","double"
"PLOT","created_by","character varying","character"
"SITETREE","damage_agent_cd1_rmrs","integer","double"
"TREE_GRM_BEGIN","volcfgrs_stump_bark","double precision","double"
"TREE","damtyp2","smallint","double"
"BOUNDARY","azmcorn","smallint","double"
"COND_DWM_CALC","fwd_md_carbon_adj","double precision","double"
"POP_EVAL","report_year_nm","character varying","character"
"COND_DWM_CALC","cn","character varying","character"
"POP_ESTN_UNIT","arealand_eu","numeric","double"
"EVALIDATOR_VARIABLE_LIBRARY","db_var","character varying","character"
"COND","harvest_type2_srs","smallint","double"
"COND_DWM_CALC","fwd_md_cnt_cond","double precision","double"
"SUBP_COND_CHNG_MTRX","cn","character varying","character"
"COND","sitecl_method","smallint","double"
"OZONE_BIOSITE_SUMMARY","svrty_class_two","double precision","double"
"SUBPLOT_REGEN","statecd","smallint","double"
"REF_POP_EVAL_TYP_DESCR","eval_typ","character varying","character"
"DWM_TRANSECT_SEGMENT","horiz_enddist","double precision","double"
"TREE_WOODLAND_STEMS","subp","double precision","double"
"COND_DWM_CALC","fwd_lg_tl_unadj","numeric","double"
"REF_POP_ATTRIBUTE","notes","character varying","character"
"TREE_GRM_BEGIN","volcfgrs_stump","double precision","double"
"TREE","drybio_bole","numeric","double"
"SEEDLING","pct_affected_damage_agent2_srs","smallint","double"
"DWM_RESIDUAL_PILE","height2","smallint","double"
"DWM_FINE_WOODY_DEBRIS","countycd","smallint","double"
"PLOT_REGEN","plt_cn","character varying","character"
"REF_NVCS_LEVEL_5_CODES","meaning","character varying","character"
"COND","qmd_rmrs","numeric","double"
"PLOTSNAP","eval_grp_cn","character varying","character"
"DWM_COARSE_WOODY_DEBRIS","lpa_cond","double precision","double"
"PLOTSNAP","emap_hex","integer","double"
"TREE_GRM_COMPONENT","modified_by","character varying","character"
"PLOTSNAP","adj_expinv_subp","double precision","double"
"VEG_SUBPLOT","cn","character varying","character"
"COND","plt_cn","character varying","character"
"OZONE_VISIT","soildrn","double precision","double"
"REF_LICHEN_SPECIES","genus","character varying","character"
"POP_EVAL_ATTRIBUTE","attribute_nbr","integer","double"
"LICHEN_LAB","origin_flag","smallint","double"
"SOILS_EROSION","statecd","smallint","double"
"REF_DIFFERENCE_TEST_PER_ACRE","created_in_instance","character varying","character"
"SITETREE","damage_agent_cd2_rmrs","integer","double"
"SUBPLOT","created_by","character varying","character"
"SITETREE","validcd","smallint","double"
"TREE","prev_bhage_rmrs","smallint","double"
"COND","aspect","smallint","double"
"TREE_GRM_COMPONENT","created_date","timestamp without time zone","IDate"
"REF_UNIT","meaning","character varying","character"
"PLOTGEOM","created_by","character varying","character"
"SITETREE","dia","numeric","double"
"SOILS_SAMPLE_LOC","ltrlrthkw","double precision","double"
"TREE","subp","smallint","double"
"VEG_SUBPLOT_SPP","dummy_subp_cover_pre2004","smallint","double"
"COND_DWM_CALC","cnd_cn","character varying","character"
"EVALIDATOR_VARIABLE_LIBRARY","decode_statement","character varying","character"
"TREE_GRM_ESTN","c","numeric","double"
"SUBP_COND_CHNG_MTRX","created_by","character varying","character"
"LICHEN_SPECIES_SUMMARY","created_date","timestamp without time zone","IDate"
"COND_DWM_CALC","created_date","timestamp without time zone","IDate"
"EVALIDATOR_ESTIMATE_GRP","modified_date","timestamp without time zone","IDate"
"PLOTSNAP","cycle","smallint","double"
"REF_DIFFERENCE_TEST_TOTALS","sql_col_12","text","character"
"REF_NVCS_LEVEL_5_CODES","modified_in_instance","character varying","character"
"DWM_RESIDUAL_PILE","statecd","smallint","double"
"TREE_GRM_ESTN","statecd","double precision","double"
"LICHEN_SPECIES_SUMMARY","lichen_region","smallint","double"
"REF_DIFFERENCE_TEST_PER_ACRE","created_by","character varying","character"
"BOUNDARY","countycd","smallint","double"
"OZONE_PLOT_SUMMARY","elev","integer","double"
"TREE_GRM_MIDPT","drybio_sawlog_bark","double precision","double"
"DWM_TRANSECT_SEGMENT","statecd","smallint","double"
"PLOT","precipitation","double precision","double"
"VEG_SUBPLOT","modified_by","character varying","character"
"SUBPLOT","countycd","smallint","double"
"LICHEN_VISIT","issuecd4","double precision","double"
"OZONE_SPECIES_SUMMARY","plant_eval_cnt","double precision","double"
"TREE_GRM_MIDPT","volcfgrs_bark","double precision","double"
"COND","modified_by","character varying","character"
"OZONE_VISIT","statecd","smallint","double"
"VEG_SUBPLOT","veg_subp_nonsample_reasn_cd","smallint","double"
"TREE_GRM_THRESHOLD","voltssnd_bark","double precision","double"
"REF_SPECIES","common_name","character varying","character"
"PLOTGEOM","alp_adforcd","double precision","double"
"LICHEN_LAB","cn","character varying","character"
"OZONE_VALIDATION","modified_by","character varying","character"
"VEG_SUBPLOT_SPP","sp_canopy_cover_layer_1_2","numeric","double"
"REF_FOREST_TYPE","modified_date","timestamp without time zone","IDate"
"REF_SPECIES","cwd_decay_ratio3","numeric","double"
"TREE","volbsgrs","numeric","double"
"COND_DWM_CALC","fwd_sm_tl_cond","numeric","double"
"SURVEY","rscd","smallint","double"
"SOILS_EROSION","created_in_instance","character varying","character"
"SUBPLOT","crown_closure_me_ners","smallint","double"
"TREE_GRM_MIDPT","prev_tre_cn","character varying","character"
"SITETREE","subcycle","smallint","double"
"TREE","cposcd","smallint","double"
"TREE_GRM_THRESHOLD","volcfgrs_stump","double precision","double"
"POP_STRATUM","adj_factor_cwd","double precision","double"
"TREE_GRM_COMPONENT","micr_component_al_forest","character varying","character"
"DWM_TRANSECT_SEGMENT","invyr","smallint","double"
"TREE","cn","character varying","character"
"TREE","culldead","smallint","double"
"DWM_RESIDUAL_PILE","invyr","smallint","double"
"LICHEN_SPECIES_SUMMARY","lich_sppcd","integer","double"
"TREE_GRM_THRESHOLD","statuscd","smallint","double"
"REF_STATE_ELEV","modified_in_instance","character varying","character"
"DWM_TRANSECT_SEGMENT","slope","smallint","double"
"DWM_RESIDUAL_PILE","height1","smallint","double"
"TREE_GRM_BEGIN","drybio_stump","double precision","double"
"REF_DIFFERENCE_TEST_PER_ACRE","sql_col_4","character varying","character"
"REF_GRM_TYPE","rscd","smallint","double"
"REF_INVASIVE_SPECIES","modified_date","timestamp without time zone","IDate"
"TREE_GRM_BEGIN","volcfsnd_bark","double precision","double"
"OZONE_PLOT","srv_cn","character varying","character"
"COND_DWM_CALC","duff_tc_cond","numeric","double"
"REF_UNIT","created_by","character varying","character"
"TREE","cullmstop","smallint","double"
"OZONE_PLOT_SUMMARY","modified_in_instance","character varying","character"
"REF_DIFFERENCE_TEST_TOTALS","comment_13","text","character"
"REF_PLANT_DICTIONARY","xgenus","character varying","character"
"SOILS_LAB","measyear","smallint","double"
"REF_DAMAGE_AGENT_GROUP","created_in_instance","character varying","character"
"OZONE_VISIT","aspect","smallint","double"
"LICHEN_LAB","abundance_class","smallint","double"
"TREE","cull_bf_rough","numeric","double"
"REF_DIFFERENCE_TEST_PER_ACRE","comment_18","character varying","character"
"POP_STRATUM","created_in_instance","character varying","character"
"DWM_COARSE_WOODY_DEBRIS","countycd","smallint","double"
"DWM_FINE_WOODY_DEBRIS","modified_by","character varying","character"
"TREE_GRM_BEGIN","volcfsnd","double precision","double"
"SUBPLOT","ground_tran_pts_bare_rmrs","smallint","double"
"REF_DIFFERENCE_TEST_TOTALS","comment_2","text","character"
"SUBPLOT","modified_by","character varying","character"
"SEEDLING","unitcd","smallint","double"
"SITETREE","dist","numeric","double"
"SOILS_LAB","coarse_fraction_pct","numeric","double"
"OZONE_VISIT","invyr","smallint","double"
"TREE","drybio_foliage","numeric","double"
"TREE_GRM_COMPONENT","subp_tpagrow_unadj_al_timber","numeric","double"
"POP_ESTN_UNIT","area_source","character varying","character"
"POP_EVAL","land_only","character varying","character"
"COND_DWM_CALC","fuel_biomass","double precision","double"
"POP_STRATUM","adj_factor_fwd_lg","double precision","double"
"TREE_GRM_COMPONENT","micr_subptyp_grm_al_timber","smallint","double"
"OZONE_PLOT","measday","smallint","double"
"COND_DWM_CALC","cwd_volcf_cond","double precision","double"
"REF_DIFFERENCE_TEST_PER_ACRE","comparison","character varying","character"
"REF_RESEARCH_STATION","rscd","smallint","double"
"SUBPLOT_REGEN","countycd","smallint","double"
"REF_GRM_TYPE","modified_by","character varying","character"
"DWM_COARSE_WOODY_DEBRIS","lpa_cond_rgn","double precision","double"
"TREE","sapling_fusiform_srs","smallint","double"
"TREE_GRM_THRESHOLD","volcfnet_bark","double precision","double"
"OZONE_VALIDATION","created_in_instance","character varying","character"
"PLOT","futforcd_rmrs","smallint","double"
"REF_POP_ATTRIBUTE","modified_by","character varying","character"
"TREE_WOODLAND_STEMS","dia","numeric","double"
"REF_DIFFERENCE_TEST_PER_ACRE","comment_15","character varying","character"
"TREE_GRM_BEGIN","voltssnd","double precision","double"
"DWM_FINE_WOODY_DEBRIS","transect","smallint","double"
"VEG_SUBPLOT_SPP","modified_by","character varying","character"
"SEEDLING","agecd_rmrs","smallint","double"
"REF_DIFFERENCE_TEST_TOTALS","modified_in_instance","character varying","character"
"COND","soil_rooting_depth_pnw","character varying","character"
"REF_NVCS_LEVEL_3_CODES","hierarchy_level_label","character varying","character"
"TREE_GRM_COMPONENT","prev_tre_cn","character varying","character"
"OZONE_SPECIES_SUMMARY","plant_ratio","double precision","double"
"LICHEN_VISIT","modified_date","timestamp without time zone","IDate"
"P2VEG_SUBPLOT_SPP","subcycle","smallint","double"
"SEEDLING_REGEN","tpa_unadj","numeric","double"
"REF_LICHEN_SPP_COMMENTS","yearstart","smallint","double"
"REF_DIFFERENCE_TEST_PER_ACRE","comment_31","character varying","character"
"REF_HABTYP_PUBLICATION","pub_cd","character varying","character"
"SEEDLING","stocking","numeric","double"
"PLOTSNAP","p2panel","smallint","double"
"REF_LICHEN_SPECIES","cn","character varying","character"
"DWM_MICROPLOT_FUEL","modified_date","timestamp without time zone","IDate"
"LICHEN_VISIT","ftrcd3","double precision","double"
"VEG_SUBPLOT","standing_water_cover_pct","smallint","double"
"DWM_COARSE_WOODY_DEBRIS","slopdist","double precision","double"
"REF_FVS_LOC_NAME","cn","character varying","character"
"TREE_GRM_COMPONENT","growcfal_timber","numeric","double"
"REF_DIFFERENCE_TEST_TOTALS","sql_col_19","text","character"
"PLOTGEOM","fvs_district","smallint","double"
"COND_DWM_CALC","fwd_md_volcf_adj","double precision","double"
"SOILS_SAMPLE_LOC","condid","smallint","double"
"TREE_GRM_THRESHOLD","drybio_bg","double precision","double"
"PLOTGEOM","created_in_instance","integer","double"
"P2VEG_SUBPLOT_SPP","plot","double precision","double"
"TREE_GRM_ESTN","tpagrow_unadj","numeric","double"
"REF_NVCS_LEVEL_4_CODES","modified_by","character varying","character"
"REF_NVCS_LEVEL_3_CODES","hierarchy_level","smallint","double"
"P2VEG_SUBP_STRUCTURE","layer","smallint","double"
"REF_NVCS_HIERARCHY_STRCT","nvcs_level_4_meaning","character varying","character"
"TREE_GRM_THRESHOLD","volbsnet","double precision","double"
"REF_DAMAGE_AGENT","modified_by","character varying","character"
"REF_SPECIES","created_date","timestamp without time zone","IDate"
"LICHEN_VISIT","measday","smallint","double"
"EVALIDATOR_POP_ESTIMATE","active","character varying","character"
"TREE","prev_pntn_srs","smallint","double"
"DWM_COARSE_WOODY_DEBRIS","hollowcd","character varying","character"
"FIA_REPORTING_LOG","modified_in_instance","character varying","character"
"COUNTY","created_date","timestamp without time zone","IDate"
"VEG_VISIT","veg_measyear","smallint","double"
"REF_SIEQN","created_date","timestamp without time zone","IDate"
"SITETREE","statecd","smallint","double"
"TREE_GRM_MIDPT","volcfsnd_top_bark","double precision","double"
"COND","dstrbcd3_p2a","smallint","double"
"TREE_GRM_BEGIN","carbon_bg","double precision","double"
"REF_NVCS_LEVEL_5_CODES","primary_class","character varying","character"
"SEEDLING","modified_in_instance","character varying","character"
"PLOT_REGEN","countycd","smallint","double"
"REF_PLANT_DICTIONARY","quadrinomial_author","character varying","character"
"REF_TREE_DECAY_PROP","cn","character varying","character"
"COND","dstrbyr2","smallint","double"
"COND","countycd","smallint","double"
"PLOT","cycle","smallint","double"
"COND","created_in_instance","character varying","character"
"TREE","drybio_sawlog","numeric","double"
"REF_DIFFERENCE_TEST_TOTALS","sql_col_24","text","character"
"REF_FOREST_TYPE_GROUP","litter_carbon_ratio","numeric","double"
"TREE_GRM_BEGIN","cr","smallint","double"
"LICHEN_VISIT","modified_by","character varying","character"
"TREE_GRM_MIDPT","diahtcd","smallint","double"
"VEG_SUBPLOT_SPP","sp_canopy_cover_layer_4","numeric","double"
"POP_STRATUM","adj_factor_regen_micr","double precision","double"
"REF_GRND_LYR","bulkdensity_coeff_b","numeric","double"
"TREE_GRM_ESTN","cd","numeric","double"
"TREE_GRM_BEGIN","drybio_bole","double precision","double"
"SUBPLOT","root_dis_sev_cd_pnwrs","smallint","double"
"SOILS_EROSION","created_by","character varying","character"
"PLOT","elev","integer","double"
"TREE","uncrcd","smallint","double"
"COND","pctbare_rmrs","smallint","double"
"DWM_FINE_WOODY_DEBRIS","large_tl_plot","double precision","double"
"REF_SPECIES","p_spgrpcd","smallint","double"
"REF_LICHEN_SPP_COMMENTS","yearend","smallint","double"
"REF_FVS_LOC_NAME","created_in_instance","character varying","character"
"REF_PLANT_DICTIONARY","modified_in_instance","character varying","character"
"PLOT","qa_status","smallint","double"
"REF_NVCS_HIERARCHY_STRCT","nvcs_level_5_cd","character varying","character"
"TREE_GRM_THRESHOLD","volcfsnd_stump_bark","double precision","double"
"SUBPLOT","p2veg_subp_nonsample_reasn_cd","smallint","double"
"TREE","snag_dis_cd_pnwrs","smallint","double"
"TREE_GRM_BEGIN","volbfgrs","double precision","double"
"REF_NVCS_LEVEL_8_CODES","meaning","character varying","character"
"COND","sibase_fvs","smallint","double"
"TREE_GRM_BEGIN","tre_cn","character varying","character"
"TREE_GRM_BEGIN","drybio_bole_bark","double precision","double"
"COND","dstrbcd2_p2a","smallint","double"
"SOILS_VISIT","created_in_instance","character varying","character"
"TREE_GRM_ESTN","ci","numeric","double"
"OZONE_BIOSITE_SUMMARY","svrty_class_five","double precision","double"
"COND","trtyr2","smallint","double"
"REF_TREE_STND_DEAD_CR_PROP","ecoprov","character varying","character"
"DATAMART_TABLES","modified_in_instance","character varying","character"
"REF_DIFFERENCE_TEST_TOTALS","comment_3","text","character"
"TREE","treehistcd","smallint","double"
"TREE","ring_count_inner_2inches_pnwrs","smallint","double"
"TREE_GRM_MIDPT","volbsgrs","double precision","double"
"TREE","volcssnd","numeric","double"
"TREE","volcfnet","numeric","double"
"COND_DWM_CALC","cwd_drybio_adj","double precision","double"
"DWM_VISIT","pile_sample_method","character varying","character"
"DWM_MICROPLOT_FUEL","created_in_instance","character varying","character"
"TREE_GRM_BEGIN","drybio_foliage","double precision","double"
"P2VEG_SUBP_STRUCTURE","cn","character varying","character"
"REF_NVCS_LEVEL_4_CODES","cn","character varying","character"
"REF_DIFFERENCE_TEST_TOTALS","sql_col_14","text","character"
"REF_NVCS_LEVEL_7_CODES","note","character varying","character"
"TREE_GRM_MIDPT","volcfnet_bark","double precision","double"
"OZONE_VALIDATION","o3_statcd","double precision","double"
"POP_EVAL","start_invyr","smallint","double"
"POP_ESTN_UNIT","areatot_eu","numeric","double"
"REF_PLANT_DICTIONARY","scientific_name","character varying","character"
"TREE_GRM_THRESHOLD","ht","smallint","double"
